GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	738532	739137	1	1	236930	-0.53305	0.703	AL669831.1
ENSG00000269308	1	818043	819983	6	4	255376	0.44239	0.3291	AL645608.2
ENSG00000187634	1	860260	879955	121	33	285397	-0.52639	0.70069	SAMD11
ENSG00000268179	1	861264	866445	42	14	283226	0.40299	0.34348	AL645608.1
ENSG00000188976	1	879584	894689	96	22	288346	0.52888	0.29844	NOC2L
ENSG00000187961	1	895967	901095	32	10	285643	0.63777	0.26181	KLHL17
ENSG00000187583	1	901877	911245	59	31	291490	0.094339	0.46242	PLEKHN1
ENSG00000187642	1	910579	917497	38	13	297760	-0.033355	0.5133	C1orf170
ENSG00000188290	1	934342	935552	5	2	297021	1.5194	0.064328	HES4
ENSG00000187608	1	948803	949920	9	4	295956	0.043414	0.48269	ISG15
ENSG00000188157	1	955503	991496	211	41	291397	1.5384	0.06198	AGRN
ENSG00000237330	1	1006346	1009687	16	8	291279	1.6815	0.046332	RNF223
ENSG00000131591	1	1017198	1051741	165	30	295854	1.4351	0.075628	C1orf159
ENSG00000162571	1	1109264	1133315	177	30	304030	0.12012	0.45219	TTLL10
ENSG00000186891	1	1138888	1142071	18	7	286278	0.87532	0.1907	TNFRSF18
ENSG00000186827	1	1146706	1149518	12	6	303333	1.3918	0.081988	TNFRSF4
ENSG00000078808	1	1152288	1167411	129	12	297269	1.2694	0.10214	SDF4
ENSG00000176022	1	1167629	1170421	12	5	297265	0.6633	0.25357	B3GALT6
ENSG00000184163	1	1177826	1182102	20	7	292416	1.5584	0.059568	FAM132A
ENSG00000160087	1	1189289	1209265	78	18	299763	0.064175	0.47442	UBE2J2
ENSG00000162572	1	1215816	1227409	58	23	300271	-0.78375	0.78341	SCNN1D
ENSG00000131584	1	1227756	1244989	87	25	286820	-0.66708	0.74764	ACAP3
ENSG00000169972	1	1243947	1247057	10	7	282775	-1.337	0.90938	PUSL1
ENSG00000127054	1	1246965	1260071	43	19	283612	-1.0853	0.8611	CPSF3L
ENSG00000224051	1	1260136	1264277	18	6	294538	-0.66425	0.74674	GLTPD1
ENSG00000169962	1	1266694	1270686	25	12	285996	-0.61111	0.72944	TAS1R3
ENSG00000107404	1	1270656	1284730	60	20	295795	-0.28764	0.61319	DVL1
ENSG00000162576	1	1288069	1297157	44	13	292687	-0.77317	0.78029	MXRA8
ENSG00000175756	1	1309110	1310875	11	4	306204	0.42349	0.33597	AURKAIP1
ENSG00000221978	1	1321091	1334708	41	21	288512	0.20487	0.41884	CCNL2
ENSG00000224870	1	1334902	1337426	12	5	303333	-0.87725	0.80982	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	20	9	287347	-0.11675	0.54647	MRPL20
ENSG00000235098	1	1353800	1357149	15	8	300169	0.51954	0.30169	ANKRD65
ENSG00000205116	1	1361508	1363167	9	4	308952	-0.070203	0.52798	TMEM88B
ENSG00000179403	1	1370241	1378262	28	10	293046	-0.045947	0.51832	VWA1
ENSG00000215915	1	1385069	1405538	107	26	290231	0.73044	0.23256	ATAD3C
ENSG00000160072	1	1407143	1433228	130	22	295128	0.011894	0.49526	ATAD3B
ENSG00000197785	1	1447531	1470067	115	30	293532	-0.59461	0.72395	ATAD3A
ENSG00000205090	1	1470554	1475833	16	7	298390	0.085542	0.46592	TMEM240
ENSG00000160075	1	1477053	1510249	137	23	300535	-0.39301	0.65284	SSU72
ENSG00000215014	1	1510355	1511373	3	1	312821	-0.02655	0.51059	AL645728.1
ENSG00000228594	1	1533392	1535476	5	3	289421	0.5506	0.29095	C1orf233
ENSG00000197530	1	1550795	1565990	52	15	300473	0.032305	0.48711	MIB2
ENSG00000248333	1	1570603	1590473	26	7	286053	0.85573	0.19607	CDK11B
ENSG00000189339	1	1592939	1624167	84	25	289771	0.80273	0.21106	SLC35E2B
ENSG00000008128	1	1634169	1655766	54	7	292382	-1.3373	0.90944	CDK11A
ENSG00000215790	1	1656277	1677431	58	19	290490	-1.2898	0.90144	SLC35E2
ENSG00000008130	1	1682671	1711896	116	26	288436	0.42256	0.33631	NADK
ENSG00000078369	1	1716729	1822495	299	47	282594	0.02725	0.48913	GNB1
ENSG00000169885	1	1846266	1848735	14	5	298833	-0.64217	0.73962	CALML6
ENSG00000178821	1	1849029	1850712	9	5	300036	-1.027	0.84778	TMEM52
ENSG00000142609	1	1853396	1935276	463	54	287109	-1.3394	0.90977	C1orf222
ENSG00000187730	1	1950780	1962192	54	19	284275	-1.1451	0.87391	GABRD
ENSG00000067606	1	1981909	2116834	644	63	285479	2.357	0.0092125	PRKCZ
ENSG00000162585	1	2115903	2144159	83	26	288886	0.57306	0.2833	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	304254	1.154	0.12425	AL590822.2
ENSG00000203301	1	2143360	2145620	10	6	293179	0.93806	0.17411	AL590822.1
ENSG00000157933	1	2160134	2241558	369	83	289659	0.28291	0.38862	SKI
ENSG00000116151	1	2252692	2323146	419	69	292512	1.0651	0.14341	MORN1
ENSG00000269753	1	2258581	2259042	1	1	263183	0.20445	0.419	AL589739.1
ENSG00000157916	1	2323267	2336883	54	22	291130	-0.14908	0.55925	RER1
