ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000185278	ZBTB37	1	173837220	173872687	1	protein_coding	84614	ZBTB37	0.734036618249105	-0.469795541	3	3.143	9.78e-09	rs28680958	2
ENSG00000117601	SERPINC1	1	173872947	173886516	-1	protein_coding	462	SERPINC1	0.993263587241958	-0.017134704	1	0.3	1.03e-08	rs28680958	2
ENSG00000138074	SLC5A6	2	27422455	27435826	-1	protein_coding	8884	SLC5A6	0.571968337581082	-0.400099261	33	22.3	3.67e-08	rs4665966;rs780090	3
ENSG00000138085	ATRAID	2	27434895	27440046	1	protein_coding	51374	ATRAID	0.00791394898030435	NA	22	15.27	3.67e-08	rs4665966	3
ENSG00000084774	CAD	2	27440258	27466811	1	protein_coding	790	CAD	0.999999701880854	-0.710759294	46	15.27	3.67e-08	rs4665966	3
ENSG00000115194	SLC30A3	2	27476552	27498685	-1	protein_coding	7781	SLC30A3	0.64608387237045	-0.660463482	41	12.98	8.12e-08	rs4665966;rs780090	3
ENSG00000163793	DNAJC5G	2	27498289	27504367	1	protein_coding	285126	DNAJC5G	0.00397478941010456	-0.706717729	22	6.966	1.01e-07	rs4665966;rs780090	3
ENSG00000138100	TRIM54	2	27505260	27530307	1	protein_coding	57159	TRIM54	8.24707898322991e-07	-1.053267254	34	8.663	8.7e-08	rs4665966;rs780090	3
ENSG00000163794	UCN	2	27530268	27531313	-1	protein_coding	7349	UCN	0.517240162953561	-0.107138113	13	6.564	2.79e-08	rs780090;rs4665966	3
ENSG00000115204	MPV17	2	27532360	27548547	-1	protein_coding	4358	MPV17	1.10286841801097e-08	-0.205368529	19	18.95	5.23e-10	rs780090;rs4665966;rs1083864	3
ENSG00000115207	GTF3C2	2	27548716	27579868	-1	protein_coding	2976	GTF3C2	0.999786435918561	-0.837016421	34	18.95	3.18e-10	rs4665966;rs1083864	3
ENSG00000115211	EIF2B4	2	27587219	27593353	-1	protein_coding	8890	EIF2B4	0.832609528731968	-0.214235303	24	18.47	1.69e-29	rs1083864;rs1260326	3
ENSG00000115234	SNX17	2	27593389	27599995	1	protein_coding	9784	SNX17	0.686180301198043	-0.681943317	23	18.47	1.69e-29	rs1083864;rs1260326	3
ENSG00000163795	ZNF513	2	27600098	27603657	-1	protein_coding	130557	ZNF513	0.940738428263313	NA	17	18.47	1.69e-29	rs1083864;rs1260326	3
ENSG00000115241	PPM1G	2	27604061	27632554	-1	protein_coding	5496	PPM1G	0.996010385533881	-0.482626092	49	12.85	1.69e-29	rs1083864;rs1260326;rs1728918	3
ENSG00000115216	NRBP1	2	27650657	27665126	1	protein_coding	29959	NRBP1	0.999548511025196	-1.389706011	43	14.1	6.35e-11	rs1083864;rs3817588	3
ENSG00000157992	KRTCAP3	2	27665233	27669348	1	protein_coding	200634	KRTCAP3	0.0445235342133754	NA	25	10.57	1.48e-10	rs1083864;rs3817588	3
ENSG00000138002	IFT172	2	27667238	27712656	-1	protein_coding	26160	IFT172	2.29011817971014e-18	-0.505254909	70	15.52	1.5e-14	rs1083864;rs3817588;rs67086575;rs780090	3
ENSG00000115226	FNDC4	2	27714750	27718112	-1	protein_coding	64838	FNDC4	0.759219015798597	NA	23	15.52	3.9e-10	rs1083864;rs780090	3
ENSG00000084734	GCKR	2	27719709	27746554	1	protein_coding	2646	GCKR	3.58392509874806e-16	-0.155697744	64	15.52	3.33e-33	rs1083864;rs780090;rs1260326;rs3817588;rs4665988;rs1881396	3
ENSG00000233438	AC109829.1	2	27760253	27790011	1	protein_coding	NA	NA	NA	NA	52	10.48	8.11e-21	rs1260326;rs3817588;rs1083864;rs4665988;rs1881396;rs13013484	3
ENSG00000221843	C2orf16	2	27799389	27805588	1	protein_coding	84226	C2orf16	3.91661992667067e-17	-0.329746802	16	17.52	5.7e-14	rs1881396;rs4665988	3
ENSG00000243943	ZNF512	2	27805897	27858041	1	protein_coding	84450	ZNF512	0.949146986047491	-1.279253328	60	18.65	3.44e-14	rs1881396;rs4665988;rs780090;rs13023194;rs13013484	3
ENSG00000176714	CCDC121	2	27848506	27851879	-1	protein_coding	79635	CCDC121	9.72713578876563e-05	-0.266319334	17	18.65	4.13e-14	rs1881396;rs4665988;rs780090;rs13023194	3
