GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	738532	739137	1	1	448122	0.73885	0.23	AL669831.1
ENSG00000269308	1	818043	819983	6	4	462089	-0.7008	0.75829	AL645608.2
ENSG00000187634	1	860260	879955	125	35	492799	-1.2904	0.90155	SAMD11
ENSG00000268179	1	861264	866445	41	14	492122	-0.87569	0.8094	AL645608.1
ENSG00000188976	1	879584	894689	99	23	501854	-0.6518	0.74273	NOC2L
ENSG00000187961	1	895967	901095	33	11	497644	-0.82295	0.79473	KLHL17
ENSG00000187583	1	901877	911245	62	32	506924	0.42904	0.33395	PLEKHN1
ENSG00000187642	1	910579	917497	38	13	512635	1.6321	0.051329	C1orf170
ENSG00000188290	1	934342	935552	5	2	518487	0.75198	0.22603	HES4
ENSG00000187608	1	948803	949920	10	4	510581	-0.11759	0.5468	ISG15
ENSG00000188157	1	955503	991496	224	44	499827	1.0585	0.14491	AGRN
ENSG00000237330	1	1006346	1009687	17	9	496754	1.7283	0.041965	RNF223
ENSG00000131591	1	1017198	1051741	164	30	514737	1.0823	0.13955	C1orf159
ENSG00000162571	1	1109264	1133315	176	30	522974	-0.39967	0.6553	TTLL10
ENSG00000186891	1	1138888	1142071	17	6	506340	-0.28127	0.61075	TNFRSF18
ENSG00000186827	1	1146706	1149518	12	6	518904	-1.4509	0.9266	TNFRSF4
ENSG00000078808	1	1152288	1167411	128	12	518916	-0.21396	0.58471	SDF4
ENSG00000176022	1	1167629	1170421	12	5	513580	0.7229	0.23487	B3GALT6
ENSG00000184163	1	1177826	1182102	20	7	517120	1.143	0.12653	FAM132A
ENSG00000160087	1	1189289	1209265	80	18	517207	2.2497	0.012233	UBE2J2
ENSG00000162572	1	1215816	1227409	60	25	514966	2.3337	0.0098057	SCNN1D
ENSG00000131584	1	1227756	1244989	95	28	495902	0.73457	0.2313	ACAP3
ENSG00000169972	1	1243947	1247057	13	7	481458	-0.57436	0.71714	PUSL1
ENSG00000127054	1	1246965	1260071	52	20	484503	-0.17178	0.5682	CPSF3L
ENSG00000224051	1	1260136	1264277	22	8	494955	-0.62483	0.73396	GLTPD1
ENSG00000169962	1	1266694	1270686	29	15	491424	-0.91846	0.82081	TAS1R3
ENSG00000107404	1	1270656	1284730	73	25	496732	-0.65512	0.7438	DVL1
ENSG00000162576	1	1288069	1297157	49	15	501000	-0.00073569	0.50029	MXRA8
ENSG00000175756	1	1309110	1310875	11	4	525339	-0.64193	0.73954	AURKAIP1
ENSG00000221978	1	1321091	1334708	43	23	498362	-0.49453	0.68953	CCNL2
ENSG00000224870	1	1334902	1337426	12	5	517975	-0.09006	0.53588	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	21	9	502768	-0.15851	0.56297	MRPL20
ENSG00000235098	1	1353800	1357149	15	8	512342	-0.2927	0.61512	ANKRD65
ENSG00000205116	1	1361508	1363167	9	4	527435	-0.65526	0.74385	TMEM88B
ENSG00000179403	1	1370241	1378262	28	10	508726	-0.13808	0.55491	VWA1
ENSG00000215915	1	1385069	1405538	109	27	503183	-0.2404	0.59499	ATAD3C
ENSG00000160072	1	1407143	1433228	131	22	507548	-0.006438	0.50257	ATAD3B
ENSG00000197785	1	1447531	1470067	113	29	508182	-0.46195	0.67794	ATAD3A
ENSG00000205090	1	1470554	1475833	15	8	512052	0.88714	0.1875	TMEM240
ENSG00000160075	1	1477053	1510249	135	23	516418	0.14808	0.44114	SSU72
ENSG00000215014	1	1510355	1511373	3	1	537349	0.070372	0.47195	AL645728.1
ENSG00000228594	1	1533392	1535476	5	3	488750	-0.12975	0.55162	C1orf233
ENSG00000197530	1	1550795	1565990	53	16	514439	-0.45857	0.67673	MIB2
ENSG00000248333	1	1570603	1590473	27	8	503495	-0.16765	0.56657	CDK11B
ENSG00000189339	1	1592939	1624167	86	26	511307	0.51295	0.30399	SLC35E2B
ENSG00000008128	1	1634169	1655766	57	8	510019	0.10443	0.45841	CDK11A
ENSG00000215790	1	1656277	1677431	57	19	515057	-0.94493	0.82765	SLC35E2
ENSG00000008130	1	1682671	1711896	112	25	510636	-0.067273	0.52682	NADK
ENSG00000078369	1	1716729	1822495	290	50	503175	-0.34481	0.63488	GNB1
ENSG00000169885	1	1846266	1848735	13	4	524454	0.63998	0.26109	CALML6
ENSG00000178821	1	1849029	1850712	9	5	514249	0.44453	0.32833	TMEM52
ENSG00000142609	1	1853396	1935276	456	54	512450	-0.0017322	0.50069	C1orf222
ENSG00000187730	1	1950780	1962192	55	19	505903	-0.11839	0.54712	GABRD
ENSG00000067606	1	1981909	2116834	711	66	504046	-1.1016	0.86468	PRKCZ
ENSG00000162585	1	2115903	2144159	87	28	507825	-1.2533	0.89496	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	535425	-1.1589	0.87676	AL590822.2
ENSG00000203301	1	2143360	2145620	10	6	512685	-0.1644	0.56529	AL590822.1
ENSG00000157933	1	2160134	2241558	371	83	514095	0.26235	0.39652	SKI
ENSG00000116151	1	2252692	2323146	418	64	516817	-1.429	0.92349	MORN1
