GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs301805	1	8431607	rs3795310	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Depressed affect	357,957 European ancestry individuals	NA	1p36.23	NR	RERE			ENSG00000142599			rs3795310-T	rs3795310	0	3795310	intron_variant	0	NR	3E-9	8.522878745280337		0.01376	[0.0092-0.0183] unit increase	Affymetrix [10847151] (imputed)	N
1	rs301805	1	8431607	rs3795310	2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling miserable	376,097 European ancestry individuals	NA	1p36.23	RERE	RERE			ENSG00000142599			rs3795310-T	rs3795310	0	3795310	intron_variant	0	0.459361	1E-9	9.0		6.11	z score increase	NR [10847151] (imputed)	N
1	rs301805	1	8476428	rs159960	2019-03-07	30578418	Giri A	2018-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30578418	Trans-ethnic association study of blood pressure determinants in over 750,000 individuals.	Systolic blood pressure	365,998 European ancestry individuals, 63,490 African ancestry individuals, 22,802 Hispanic individuals, 4,792 Asian ancestry individuals, 2,695 Native American ancestry individuals	299,024 European ancestry individuals, 17,277 individuals	1p36.23	RERE	RERE			ENSG00000142599			rs159960-G	rs159960	0	159960	intron_variant	0	0.4883	3E-12	11.522878745280337		0.2382	[0.17-0.31] mmHg decrease	Affymetrix [NR] (imputed)	N
1	rs301805	1	8481016	rs301805	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Smoking status	approximately 458,000 European ancestry individuals	NA	1p36.23		RERE			ENSG00000142599			rs301805-?	rs301805	0	301805	intron_variant	0	NR	8E-9	8.096910013008056				NR [~ 8900000] (imputed)	N
1	rs301805	1	8481016	rs301805	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	Smoking status (ever vs never smokers)	518,633 European ancestry individuals	NA	1p36.23	RERE	RERE			ENSG00000142599			rs301805-T	rs301805	0	301805	intron_variant	0	0.4227	4E-8	7.3979400086720375		0.011173298	[0.0072-0.0152] unit decrease	Affymetrix [11514654] (imputed)	N
1	rs301805	1	8481016	rs301805	2019-04-12	29785011	Zhu Z	2018-05-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29785011	A genome-wide cross-trait analysis from UK Biobank highlights the shared genetic architecture of asthma and allergic diseases.	Asthma or allergic disease (pleiotropy)	14,085 European asthma cases, 25,685 European ancestry allergic diseases cases, 76,768 European ancestry controls	NA	1p36.23	RERE	RERE			ENSG00000142599			rs301805-?	rs301805	0	301805	intron_variant	0	NR	6E-9	8.221848749616356		1.0416667		NR [74888535] (imputed)	N
1	rs301805	1	8482078	rs301806	2017-12-05	29083406	Ferreira MA	2017-10-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29083406	Shared genetic origin of asthma, hay fever and eczema elucidates allergic disease biology.	Allergic disease (asthma, hay fever or eczema)	180,129 European ancestry cases, 180,709 European ancestry controls	NA	1p36.23	RERE	RERE			ENSG00000142599			rs301806-T	rs301806	0	301806	intron_variant	0	0.54	2E-20	19.69897000433602		1.048	[1.04-1.06]	Affymetrix, Illumina [8307659] (imputed)	N
1	rs301805	1	8482078	rs301806	2018-02-27	29292387	Turley P	2018-01-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29292387	Multi-trait analysis of genome-wide association summary statistics using MTAG.	Depressive symptoms (MTAG)	354,862 European ancestry individuals	NA	1p36.23	NR	RERE			ENSG00000142599			rs301806-C	rs301806	0	301806	intron_variant	0	0.4406	1E-9	9.0		0.0131	[0.009-0.0172] unit increase	Illumina [NR] (imputed)	N
1	rs301805	1	8482078	rs301806	2018-08-03	27479909	Hyde CL	2016-08-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27479909	Identification of 15 genetic loci associated with risk of major depression in individuals of European descent.	Major depressive disorder	84,847 European ancestry cases, 241,266 European ancestry controls	45,773 European ancestry cases, 106,354 European ancestry controls	1p36.23	RERE	RERE			ENSG00000142599			rs301806-T	rs301806	0	301806	intron_variant	0	0.551911	2E-9	8.698970004336019		0.0271	[0.015-0.039] unit decrease	Illumina [1220000] (imputed)	N
1	rs301805	1	8482078	rs301806	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Eczema	approximately 459,000 European ancestry individuals	NA	1p36.23		RERE			ENSG00000142599			rs301806-?	rs301806	0	301806	intron_variant	0	NR	1E-16	16.0				NR [~ 8900000] (imputed)	N
