annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	71	0.0183794977996376	1.97152074280738	2.22640297091465e-07
UTR5	71546	0.00285251910856087	25	0.00647165415480197	2.26875050034879	0.000214754989303702
downstream	284177	0.0113300579027968	63	0.016308568470101	1.43940733666288	0.00598531909172272
exonic	254736	0.0101562534263042	53	0.0137199068081802	1.35088267614968	0.0362677058023409
intergenic	11684523	0.465858680176655	1009	0.261195961687807	0.560676387072494	1.0314709634765e-150
intronic	9137749	0.364319509570527	2031	0.525757183536112	1.44312113330382	1.50242484938026e-92
ncRNA_exonic	259951	0.0103641740249561	65	0.0168263008024851	1.62350620145597	0.000236220456378382
ncRNA_intronic	2884355	0.114998431126451	492	0.127362153766503	1.10751209837338	0.0177240454036385
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	1	0.000258866166192079	2.29427594767428	0.353334120439538
upstream	266686	0.0106326966005879	53	0.0137199068081802	1.29035063479772	0.0703803859750882
