# ALPHA = 0.05
# NUMBER_OF_TESTS = 15481

# _SET1_  VARIABLE = Curated_gene_sets:reactome_acetylcholine_binding_and_downstream_events (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 1.46207e-16
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_   ENSG00000160716     1  154540257  154552502     37      20  245836       6.0034   9.6602e-10
_SET1_   ENSG00000138435     2  175612320  175629200     69      16  250748      0.62611      0.26562
_SET1_   ENSG00000135902     2  233390703  233401377     44      14  250470      0.30593      0.37983
_SET1_   ENSG00000196811     2  233404437  233411113     38      14  243266      0.23356      0.40766
_SET1_   ENSG00000174343     4   40337346   40357234    128      17  257307       1.3252     0.092552
_SET1_   ENSG00000120903     8   27317279   27337400    115      28  250505        2.843    0.0022349
_SET1_   ENSG00000147432     8   42552519   42592550    223      11  257167       5.1385   1.3846e-07
_SET1_   ENSG00000147434     8   42607763   42651535    146      26  251487        8.067   1.8699e-23
_SET1_   ENSG00000175344    15   32322691   32464722    433      88  246903     0.082566       0.4671
_SET1_   ENSG00000169684    15   78857862   78887611    121      21  242377        8.067   3.9362e-55
_SET1_   ENSG00000080644    15   78885394   78913637    118      23  243639        8.067   1.1232e-79
_SET1_   ENSG00000117971    15   78916461   79020096    404      56  238276        8.067  5.4257e-122
_SET1_   ENSG00000108556    17    4801069    4806369     35      15  237078     -0.47608      0.68299
_SET1_   ENSG00000101204    20   61975420   62009753    250      58  253400       7.6363   1.1182e-14

# _SET2_  VARIABLE = Curated_gene_sets:reactome_highly_calcium_permeable_postsynaptic_nicotinic_acetylcholine_receptors (set)
# _SET2_  NGENES = 11
# _SET2_  P-VALUE = 2.2164e-23
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET2_   ENSG00000160716     1  154540257  154552502     37      20  245836       6.0034   9.6602e-10
_SET2_   ENSG00000138435     2  175612320  175629200     69      16  250748      0.62611      0.26562
_SET2_   ENSG00000174343     4   40337346   40357234    128      17  257307       1.3252     0.092552
_SET2_   ENSG00000120903     8   27317279   27337400    115      28  250505        2.843    0.0022349
_SET2_   ENSG00000147432     8   42552519   42592550    223      11  257167       5.1385   1.3846e-07
_SET2_   ENSG00000147434     8   42607763   42651535    146      26  251487        8.067   1.8699e-23
_SET2_   ENSG00000175344    15   32322691   32464722    433      88  246903     0.082566       0.4671
_SET2_   ENSG00000169684    15   78857862   78887611    121      21  242377        8.067   3.9362e-55
_SET2_   ENSG00000080644    15   78885394   78913637    118      23  243639        8.067   1.1232e-79
_SET2_   ENSG00000117971    15   78916461   79020096    404      56  238276        8.067  5.4257e-122
_SET2_   ENSG00000101204    20   61975420   62009753    250      58  253400       7.6363   1.1182e-14

# _SET3_  VARIABLE = Curated_gene_sets:dazard_response_to_uv_nhek_dn (set)
# _SET3_  NGENES = 294
# _SET3_  P-VALUE = 1.3719e-06
_SET3_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET3_   ENSG00000196581     1    4714792    4852594    864     112  252091      0.53321      0.29695
_SET3_   ENSG00000065526     1   16174359   16266955    258      33  245762      -1.3508      0.91161
_SET3_   ENSG00000126705     1   27860546   27930942    142      40  242037      -0.6743      0.74994
_SET3_   ENSG00000134644     1   31404353   31538838    474      42  244748     -0.59641      0.72455
_SET3_   ENSG00000134686     1   33789224   33896653    409      47  249805        4.482    3.697e-06
_SET3_   ENSG00000188910     1   35246790   35251970     16       6  259232     -0.19759      0.57832
_SET3_   ENSG00000198815     1   42642210   42801548    431      33  247660       1.4774     0.069784
_SET3_   ENSG00000134744     1   52873954   53019159    382      40  247674     -0.95412      0.82999
_SET3_   ENSG00000211452     1   54356912   54376759     93      16  251474       3.8464   5.9945e-05
_SET3_   ENSG00000162402     1   55532032   55680786    451      42  249025     -0.65043      0.74229
_SET3_   ENSG00000162607     1   62901968   62917475     45       8  248139      -1.3841      0.91683
_SET3_   ENSG00000036549     1   78028101   78149104    303      37  246111       1.8851     0.029707
_SET3_   ENSG00000137959     1   79085607   79111830     90      27  246944      0.81554      0.20738
_SET3_   ENSG00000117114     1   81771845   82458120   3200     250  248092     0.041142      0.48359
_SET3_   ENSG00000137942     1   93913688   94020218    237      67  243179        2.387    0.0084935
_SET3_   ENSG00000137936     1   94027347   94312706   1191      57  251217       1.2302      0.10931
_SET3_   ENSG00000081019     1  114304454  114355098    112      34  243657      0.51945      0.30172
_SET3_   ENSG00000143442     1  151375200  151431941    145      20  242495     -0.33417      0.63087
_SET3_   ENSG00000143631     1  152274651  152297679    102      16  247565       1.1064      0.13427
_SET3_   ENSG00000160785     1  156163880  156182587     49      14  246138       3.1364   0.00085524
_SET3_   ENSG00000171806     1  169761670  169764107      8       4  253588     -0.16532      0.56566
_SET3_   ENSG00000094975     1  172501489  172580971    219      42  233067     -0.42563      0.66481
_SET3_   ENSG00000152061     1  174128548  174964445   2535      44  244855       4.2134    1.258e-05
_SET3_   ENSG00000135837     1  179923873  180084015    578      36  250960     -0.68252      0.75255
_SET3_   ENSG00000118193     1  200520628  200589862    289      30  252506     -0.86297      0.80592
_SET3_   ENSG00000117724     1  214776538  214837931    277      24  252016       1.7217     0.042562
_SET3_   ENSG00000135801     1  229728858  229761794    109      20  251192       2.1704     0.014988
_SET3_   ENSG00000143702     1  243287730  243418650    300      40  247286       1.5277     0.063291
_SET3_   ENSG00000055917     2   20448452   20551995    334      33  247917     -0.27198      0.60718
_SET3_   ENSG00000115163     2   26987157   27023935    100      16  251550    -0.054622      0.52178
_SET3_   ENSG00000115808     2   37070783   37193615    488      58  249557     -0.31094      0.62208
_SET3_   ENSG00000085760     2   55463731   55496483    142      32  245988      -1.0878      0.86165
_SET3_   ENSG00000082898     2   61704984   61765761    162      29  251929      0.45299      0.32528
_SET3_   ENSG00000179833     2   64858755   64978139    337      44  243353      0.20886      0.41728
_SET3_   ENSG00000143995     2   66660584   66801001    456      82  250808       1.4932      0.06769
_SET3_   ENSG00000124383     2   71357444   71377231    124      16  232018     0.094201      0.46247
_SET3_   ENSG00000075292     2   71503691   71662199    622      38  253588       1.3148     0.094284
_SET3_   ENSG00000170485     2  101436614  101613291    752     108  250239      0.14679      0.44165
_SET3_   ENSG00000125633     2  118673054  118771709    412      42  249027     -0.15654      0.56219
