GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs2072659	1	154548521	rs2072659	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Cigarettes smoked per day (MTAG)	up to 403,928 European ancestry individuals	NA	1q21.3	NR	CHRNB2			ENSG00000160716			rs2072659-G	rs2072659	0	2072659	3_prime_UTR_variant	0	0.0986	7E-16	15.154901959985743		0.0314007	[0.024-0.039] unit decrease	NR [9732723] (imputed)	N
1	rs2072659	1	154548521	rs2072659	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Smoking behaviour (cigarettes smoked per day)	up to 377,334 European ancestry individuals	NA	1q21.3	NR	CHRNB2			ENSG00000160716			rs2072659-G	rs2072659	0	2072659	3_prime_UTR_variant	0	0.0986	3E-13	12.522878745280337		0.029984204	[0.022-0.038] unit decrease	NR [~ 10000000] (imputed)	N
1	rs4292956	1	154548946	rs4292956	2018-11-30	29855537	Hirata T	2018-05-31	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/29855537	Japanese GWAS identifies variants for bust-size, dysmenorrhea, and menstrual fever that are eQTLs for relevant protein-coding or long non-coding RNAs.	Vaginal discharge (itching)	676 Japanese ancestry female cases, 5,058 Japanese ancestry female controls	669 Japanese ancestry female cases, 4,945 Japanese ancestry female controls	1q21.3	NR	CHRNB2			ENSG00000160716			rs4292956-T	rs4292956	0	4292956	3_prime_UTR_variant	0	0.125211826	4E-6	5.3979400086720375		0.26691648	[0.15-0.38] unit increase	Affymetrix [536506]	N
1	rs4292956	1	154566225	rs78062588	2017-09-18	28604730	McKay JD	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	Lung cancer	29,266 European ancestry cases, 56,450 European ancestry controls	NA	1q21.3	ADAR	ADAR			ENSG00000160710			rs78062588-T	rs78062588	0	78062588	intron_variant	0	0.941769014	5E-7	6.301029995663981		1.1326951	[1.08-1.19]	Illumina [10439017] (imputed)	N
1	rs4292956	1	154566225	rs78062588	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Smoking initiation (ever regular vs never regular) (MTAG)	up to 1,359,002 European ancestry individuals	NA	1q21.3	NR	ADAR			ENSG00000160710			rs78062588-C	rs78062588	0	78062588	intron_variant	0	0.0735	2E-9	8.698970004336019		0.0125545	[0.0085-0.0166] unit decrease	NR [9732723] (imputed)	N
1	rs4292956	1	154575685	rs61300392	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Age of smoking initiation (MTAG)	up to 931,815 European ancestry  individuals	NA	1q21.3	NR	ADAR			ENSG00000160710			rs61300392-T	rs61300392	0	61300392	intron_variant	0	0.0764	3E-8	7.522878745280337		0.0152515	[0.0099-0.0206] unit increase	NR [9732723] (imputed)	N
1	rs4292956	1	154618623	rs77710113	2017-09-18	28604730	McKay JD	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	Squamous cell lung carcinoma	7,426 European ancestry cases, 55,627 European ancestry controls	NA	1q21.3	KCNN3, ADAR	ADAR - KCNN3	ENSG00000160710	ENSG00000143603		18134	51308	rs77710113-T	rs77710113	0	77710113	regulatory_region_variant	1	0.941966797	6E-6	5.221848749616356		1.193753	[1.11-1.29]	Illumina [10439017] (imputed)	N
2	rs2084533	3	16846967	rs9881798	2016-07-23	26198764	Goes FS	2015-07-21	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/26198764	Genome-wide association study of schizophrenia in Ashkenazi Jews.	Schizophrenia	592 Ashkenazi Jewish ancestry cases, 505 Ashkenazi Jewish ancestry controls, 36,989 cases, 113,075 controls	NA	3p24.3	NR	PLCL2			ENSG00000154822			rs9881798-C	rs9881798	0	9881798	intron_variant	0	NR	7E-6	5.154901959985743		1.0526316	[NR]	Illumina [7158791] (imputed)	N
2	rs2084533	3	16846967	rs9881798	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Neuroticism	449,484 European ancestry individuals	NA	3p24.3	NR	PLCL2			ENSG00000154822			rs9881798-A	rs9881798	0	9881798	intron_variant	0	NR	9E-10	9.045757490560675		6.123	z score decrease	Affymetrix [10847151] (imputed)	N
2	rs2084533	3	16851202	rs748832	2018-01-12	29186694	Lam M	2017-11-28	Cell Rep	www.ncbi.nlm.nih.gov/pubmed/29186694	Large-Scale Cognitive GWAS Meta-Analysis Reveals Tissue-Specific Neural Expression and Potential Nootropic Drug Targets.	Cognitive ability	107,207 European ancestry individuals	NA	3p24.3	ENSG00000229271	PLCL2			ENSG00000154822			rs748832-?	rs748832	0	748832	intron_variant	0	NR	1E-7	7.0		5.288	z score increase	Affymetrix, Illumina [7357080] (imputed)	N
