ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000115504	EHBP1	2	62900986	63273622	1	protein_coding	23301	EHBP1	0.999748961950681	-0.554169843	23	22.3	5.94e-11	rs4671448;rs62180314;rs6545977	1
ENSG00000115507	OTX1	2	63277192	63284971	1	protein_coding	5013	OTX1	0.219807903535165	-1.753229136	1	22.3	NA	rs6545977	1
ENSG00000143951	WDPCP	2	63348518	64054977	-1	protein_coding	51057	WDPCP	2.32411054871015e-09	-0.884584249	574	21.6	1.71e-12	rs62180314;rs7599208;rs6546000	1
ENSG00000014641	MDH1	2	63815743	63834331	1	protein_coding	4190	MDH1	0.982634617401256	-0.408839334	27	16.01	1.84e-06	rs6546000	1
ENSG00000036257	CUL3	2	225334867	225450110	-1	protein_coding	8452	CUL3	0.974063405438851	0.062550932	54	12.88	7.37e-09	rs3768886	2
ENSG00000175161	CADM2	3	85008132	86123579	1	protein_coding	253559	CADM2	0.984668909563275	0.117806454	215	16.66	3.83e-13	rs11915747;rs4321539;rs2325036	3
ENSG00000087266	SH3BP2	4	2794750	2842825	1	protein_coding	6452	SH3BP2	0.00310189992242549	3.048444572	5	6.115	4.61e-08	rs624833;rs2032463	4
ENSG00000087274	ADD1	4	2845584	2931803	1	protein_coding	118	ADD1	0.611299255784318	0.208608457	45	13.07	8.61e-09	rs624833;rs2032463	4
ENSG00000109736	MFSD10	4	2932288	2936586	-1	protein_coding	10227	MFSD10	3.01777310462786e-07	NA	14	7.564	3.01e-08	rs624833;rs2032463	4
ENSG00000087269	NOP14	4	2939660	2965112	-1	protein_coding	8602	NOP14	0.0174491653147605	0.136953099	49	18.09	3.01e-08	rs624833;rs2032463	4
ENSG00000125388	GRK4	4	2965335	3042474	1	protein_coding	2868	GRK4	5.6904219834531e-07	NA	122	19.84	1.19e-07	rs624833;rs2032463	4
ENSG00000015592	STMN4	8	27092840	27115937	-1	protein_coding	81551	STMN4	0.146519525068475	-0.181796118	1	4.593	0.000217	rs76694908	5
ENSG00000104228	TRIM35	8	27142404	27168836	-1	protein_coding	23087	TRIM35	0.000940307552509518	-0.967121477	21	10.14	4.16e-09	rs76694908	5
ENSG00000120899	PTK2B	8	27168999	27316903	1	protein_coding	2185	PTK2B	0.984520870569303	-0.296269216	14	7.945	3.12e-09	rs76694908;rs11780471	5
ENSG00000120903	CHRNA2	8	27317279	27337400	-1	protein_coding	1135	CHRNA2	0.00176647920423662	2.564201934	2	1.338	7e-11	rs11780471;rs76694908	5
ENSG00000120915	EPHX2	8	27348296	27403081	1	protein_coding	2053	EPHX2	4.92248524715445e-13	1.72964059	3	1.338	7e-11	rs11780471	5
ENSG00000138621	PPCDC	15	75315896	75409803	1	protein_coding	60490	PPCDC	0.00087960119376272	-0.573316534	1	3.295	1.41e-08	rs140485736	6
ENSG00000108684	ASIC2	17	31340105	32501983	-1	protein_coding	40	ASIC2	0.989195648597493	NA	68	8.909	3.08e-08	rs319748	7
