GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	738532	739137	1	1	184410	0.35312	0.362	AL669831.1
ENSG00000269308	1	818043	819983	6	4	198833	1.1082	0.13389	AL645608.2
ENSG00000187634	1	860260	879955	117	33	235461	0.95179	0.1706	SAMD11
ENSG00000268179	1	861264	866445	39	14	234436	1.4396	0.074992	AL645608.1
ENSG00000188976	1	879584	894689	96	22	237417	-0.12743	0.5507	NOC2L
ENSG00000187961	1	895967	901095	30	9	238504	1.0081	0.15671	KLHL17
ENSG00000187583	1	901877	911245	57	29	243989	1.9919	0.023191	PLEKHN1
ENSG00000187642	1	910579	917497	38	13	249630	1.5473	0.06089	C1orf170
ENSG00000188290	1	934342	935552	5	2	246683	1.5443	0.061253	HES4
ENSG00000187608	1	948803	949920	9	4	245528	1.5834	0.056667	ISG15
ENSG00000188157	1	955503	991496	213	41	240006	2.1576	0.015479	AGRN
ENSG00000237330	1	1006346	1009687	15	7	245056	-0.30352	0.61925	RNF223
ENSG00000131591	1	1017198	1051741	162	29	248319	0.46189	0.32208	C1orf159
ENSG00000162571	1	1109264	1133315	173	29	254775	-0.7864	0.78418	TTLL10
ENSG00000186891	1	1138888	1142071	18	7	237585	-0.41622	0.66138	TNFRSF18
ENSG00000186827	1	1146706	1149518	12	6	250140	-0.80863	0.79064	TNFRSF4
ENSG00000078808	1	1152288	1167411	128	12	249605	-0.16999	0.56749	SDF4
ENSG00000176022	1	1167629	1170421	12	5	251220	-0.94727	0.82825	B3GALT6
ENSG00000184163	1	1177826	1182102	20	7	246054	0.045912	0.48169	FAM132A
ENSG00000160087	1	1189289	1209265	78	18	250472	-0.2844	0.61195	UBE2J2
ENSG00000162572	1	1215816	1227409	57	23	250258	-0.26962	0.60627	SCNN1D
ENSG00000131584	1	1227756	1244989	85	24	235872	-0.74514	0.77191	ACAP3
ENSG00000169972	1	1243947	1247057	10	7	232354	0.5159	0.30296	PUSL1
ENSG00000127054	1	1246965	1260071	43	19	231913	-0.4743	0.68236	CPSF3L
ENSG00000224051	1	1260136	1264277	18	6	244223	0.37998	0.35198	GLTPD1
ENSG00000169962	1	1266694	1270686	25	12	235492	1.1478	0.12552	TAS1R3
ENSG00000107404	1	1270656	1284730	60	20	245863	0.82161	0.20565	DVL1
ENSG00000162576	1	1288069	1297157	44	13	242331	0.82477	0.20475	MXRA8
ENSG00000175756	1	1309110	1310875	11	4	256115	-0.61212	0.72977	AURKAIP1
ENSG00000221978	1	1321091	1334708	41	21	238250	-2.1206	0.98302	CCNL2
ENSG00000224870	1	1334902	1337426	12	5	253499	0.54409	0.29319	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	20	9	236521	-0.10399	0.54141	MRPL20
ENSG00000235098	1	1353800	1357149	15	8	250689	-0.64886	0.74179	ANKRD65
ENSG00000205116	1	1361508	1363167	8	3	262990	0.14992	0.44042	TMEM88B
ENSG00000179403	1	1370241	1378262	26	9	247066	0.40949	0.34109	VWA1
ENSG00000215915	1	1385069	1405538	106	26	240644	-0.056689	0.5226	ATAD3C
ENSG00000160072	1	1407143	1433228	128	21	245809	2.5853	0.004865	ATAD3B
ENSG00000197785	1	1447531	1470067	113	29	244242	0.12988	0.44833	ATAD3A
ENSG00000205090	1	1470554	1475833	15	8	245609	-0.24314	0.59605	TMEM240
ENSG00000160075	1	1477053	1510249	135	23	250420	-0.37599	0.64654	SSU72
ENSG00000215014	1	1510355	1511373	3	1	262990	0.28096	0.38937	AL645728.1
ENSG00000228594	1	1533392	1535476	5	3	241212	0.30692	0.37945	C1orf233
ENSG00000197530	1	1550795	1565990	52	15	250415	-0.78642	0.78419	MIB2
ENSG00000248333	1	1570603	1590473	26	7	234116	-0.46402	0.67868	CDK11B
ENSG00000189339	1	1592939	1624167	84	25	247341	-1.1943	0.88381	SLC35E2B
ENSG00000008128	1	1634169	1655766	55	7	249587	1.6288	0.051677	CDK11A
ENSG00000215790	1	1656277	1677431	56	18	248991	1.4444	0.074307	SLC35E2
ENSG00000008130	1	1682671	1711896	111	24	247751	2.0339	0.02098	NADK
ENSG00000078369	1	1716729	1822495	283	50	242388	1.8941	0.029108	GNB1
ENSG00000169885	1	1846266	1848735	13	4	261038	0.61434	0.2695	CALML6
ENSG00000178821	1	1849029	1850712	9	5	257115	1.4202	0.077769	TMEM52
ENSG00000142609	1	1853396	1935276	445	48	246199	0.88218	0.18884	C1orf222
ENSG00000187730	1	1950780	1962192	52	18	243999	0.13229	0.44738	GABRD
ENSG00000067606	1	1981909	2116834	651	63	241700	0.8094	0.20914	PRKCZ
ENSG00000162585	1	2115903	2144159	83	26	245685	0.68347	0.24715	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	261038	0.1174	0.45327	AL590822.2
ENSG00000203301	1	2143360	2145620	10	6	249944	0.17129	0.432	AL590822.1
ENSG00000157933	1	2160134	2241558	366	81	248230	-0.51744	0.69758	SKI
ENSG00000116151	1	2252692	2323146	408	61	250881	-1.0497	0.85306	MORN1
ENSG00000269753	1	2258581	2259042	1	1	222772	-0.8779	0.81	AL589739.1
ENSG00000157916	1	2323267	2336883	54	22	248842	2.5459	0.0054503	RER1
ENSG00000157911	1	2336236	2345236	42	17	249149	1.8017	0.035797	PEX10
ENSG00000149527	1	2357419	2436969	435	79	249822	-0.59045	0.72256	PLCH2
ENSG00000157881	1	2439972	2458039	95	25	246204	1.3231	0.092897	PANK4
ENSG00000197921	1	2460184	2461684	6	4	248434	1.4642	0.071571	HES5
ENSG00000157873	1	2487078	2496821	35	11	249495	2.4487	0.0071683	TNFRSF14
ENSG00000157870	1	2517930	2522908	25	15	237202	1.5632	0.059001	FAM213B
ENSG00000142606	1	2522078	2564481	224	23	249713	2.7756	0.0027551	MMEL1
ENSG00000215912	1	2567415	2718286	186	30	246521	3.0609	0.0011032	TTC34
ENSG00000169717	1	2938046	2939465	4	2	243383	1.9582	0.025101	ACTRT2
ENSG00000142611	1	2985732	3355185	2225	262	247063	-1.2139	0.88761	PRDM16
ENSG00000130762	1	3370990	3397677	135	25	248367	0.75089	0.22636	ARHGEF16
ENSG00000162591	1	3406484	3528059	720	124	249294	-1.3966	0.91874	MEGF6
ENSG00000158109	1	3541566	3546691	21	8	235646	-0.24797	0.59792	TPRG1L
ENSG00000116213	1	3547331	3569325	73	28	238206	-0.6407	0.73914	WRAP73
ENSG00000078900	1	3569084	3652765	416	87	251299	-2.3681	0.99106	TP73
ENSG00000162592	1	3668962	3688209	106	32	244787	-1.4025	0.91961	CCDC27
ENSG00000235169	1	3689352	3692546	18	10	246750	0.81606	0.20723	SMIM1
ENSG00000130764	1	3696784	3713068	106	24	250592	-1.2318	0.89098	LRRC47
ENSG00000116198	1	3728645	3773778	349	26	252762	-1.1975	0.88444	CEP104
ENSG00000169598	1	3773845	3801993	216	38	248800	-0.25243	0.59965	DFFB
ENSG00000198912	1	3805689	3816857	61	15	252687	0.51932	0.30177	C1orf174
ENSG00000196581	1	4714792	4852594	863	111	252932	2.4172	0.00782	AJAP1
ENSG00000131697	1	5922871	6052533	570	39	247441	0.7126	0.23805	NPHP4
ENSG00000069424	1	6051526	6161253	459	93	248322	-0.15019	0.55969	KCNAB2
ENSG00000268332	1	6100630	6101399	5	3	259921	0.32494	0.37262	AL035406.1
ENSG00000116254	1	6161853	6240183	369	54	250925	-0.71112	0.7615	CHD5
ENSG00000116251	1	6241329	6269449	90	23	251668	-1.0102	0.8438	RPL22
ENSG00000158286	1	6265535	6281359	56	11	245900	-1.2297	0.8906	RNF207
ENSG00000116237	1	6281253	6296032	53	13	246459	-1.0047	0.84249	ICMT
ENSG00000173673	1	6304252	6305638	7	3	250234	-0.45223	0.67445	HES3
ENSG00000158292	1	6307406	6321035	52	8	253054	-0.074865	0.52984	GPR153
ENSG00000097021	1	6324329	6454451	637	42	252283	0.56177	0.28714	ACOT7
ENSG00000069812	1	6472478	6484730	54	14	249134	0.91389	0.18039	HES2
ENSG00000187017	1	6484848	6521430	145	23	250504	0.50574	0.30652	ESPN
ENSG00000215788	1	6521211	6526255	25	13	244501	1.9674	0.024566	TNFRSF25
ENSG00000171680	1	6526152	6580121	230	55	244813	0.28627	0.38734	PLEKHG5
ENSG00000162408	1	6581407	6614595	154	12	250739	0.87991	0.18945	NOL9
ENSG00000173662	1	6615241	6639817	88	23	242720	0.66259	0.2538	TAS1R1
ENSG00000204859	1	6640061	6649340	20	12	248179	1.6664	0.047817	ZBTB48
ENSG00000162413	1	6650784	6674667	87	29	243799	1.3295	0.091838	KLHL21
ENSG00000116273	1	6673745	6684093	28	8	240871	1.8264	0.033892	PHF13
ENSG00000041988	1	6684926	6695646	44	12	250873	2.4566	0.0070138	THAP3
ENSG00000007923	1	6694228	6761984	219	40	249213	1.9556	0.025256	DNAJC11
ENSG00000171735	1	6845384	7829766	3986	317	247292	2.4563	0.0070182	CAMTA1
ENSG00000049245	1	7831329	7841492	44	14	254952	-1.673	0.95284	VAMP3
ENSG00000049246	1	7844380	7905237	273	32	253757	-1.8062	0.96456	PER3
ENSG00000049247	1	7903143	7913572	46	16	257737	-0.28132	0.61077	UTS2
ENSG00000049249	1	7979907	8000926	69	16	246325	1.7151	0.043165	TNFRSF9
ENSG00000116288	1	8014351	8045565	103	26	251676	1.7027	0.044315	PARK7
ENSG00000116285	1	8064464	8086368	56	17	247223	1.0902	0.1378	ERRFI1
ENSG00000162426	1	8377886	8404227	115	25	245324	0.0059469	0.49763	SLC45A1
ENSG00000142599	1	8412457	8877702	1107	53	245561	0.59519	0.27586	RERE
ENSG00000074800	1	8921061	8939308	48	15	236785	-0.060543	0.52414	ENO1
ENSG00000131686	1	9005926	9035151	174	44	246944	-0.20152	0.57985	CA6
ENSG00000197241	1	9063359	9086404	115	43	248843	0.93411	0.17512	SLC2A7
ENSG00000142583	1	9095166	9148537	244	44	251921	0.9934	0.16026	SLC2A5
ENSG00000180758	1	9160364	9189229	112	25	249507	-0.27766	0.60936	GPR157
ENSG00000049239	1	9294834	9331396	147	37	247344	0.80921	0.2092	H6PD
ENSG00000171621	1	9352939	9429591	467	78	251279	-0.30239	0.61882	SPSB1
ENSG00000171612	1	9599541	9645237	104	25	246141	-0.90591	0.81751	SLC25A33
ENSG00000188807	1	9648932	9674935	78	26	247385	-1.4335	0.92414	TMEM201
ENSG00000171608	1	9711790	9789172	290	57	236907	0.26215	0.3966	PIK3CD
ENSG00000179840	1	9712668	9714644	8	4	247171	-1.9934	0.97689	C1orf200
