GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs10914684	1	33784146	rs6682438	2019-02-06	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Body mass index	approximately 458,000 European ancestry individuals	NA	1p35.1		A3GALT2, AL513327.1			ENSG00000184389, ENSG00000225313			rs6682438-?	rs6682438	0	6682438	intron_variant	0	NR	1E-9	9.0				NR [~ 8900000] (imputed)	N
1	rs10914684	1	33795572	rs10914684	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Smoking status	approximately 458,000 European ancestry individuals	NA	1p35.1		PHC2, AL513327.1			ENSG00000134686, ENSG00000225313			rs10914684-?	rs10914684	0	10914684	intron_variant	0	NR	4E-9	8.397940008672037				NR [~ 8900000] (imputed)	N
1	rs10914684	1	33795572	rs10914684	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	Risk-taking tendency (4-domain principal component model)	315,894 European ancestry individuals	NA	1p35.1	PHC2	PHC2, AL513327.1			ENSG00000134686, ENSG00000225313			rs10914684-A	rs10914684	0	10914684	intron_variant	0	0.325	5E-9	8.301029995663981		0.016068757	[0.011-0.021] unit decrease	Affymetrix [~ 11515000] (imputed)	N
1	rs10914684	1	33795572	rs10914684	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	Smoking status (ever vs never smokers)	518,633 European ancestry individuals	NA	1p35.1	PHC2	PHC2, AL513327.1			ENSG00000134686, ENSG00000225313			rs10914684-A	rs10914684	0	10914684	intron_variant	0	0.3282	1E-12	12.0		0.015183688	[0.011-0.019] unit decrease	Affymetrix [11514654] (imputed)	N
1	rs10914684	1	33795572	rs10914684	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Smoking initiation (ever regular vs never regular)	up to 1,232,091 European ancestry individuals	NA	1p35.1	NR	PHC2, AL513327.1			ENSG00000134686, ENSG00000225313			rs10914684-A	rs10914684	0	10914684	intron_variant	0	0.324	6E-9	8.221848749616356		0.015803844	[0.01-0.021] unit decrease	NR [~ 10000000] (imputed)	N
1	rs10914684	1	33795572	rs10914684	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Smoking initiation (ever regular vs never regular) (MTAG)	up to 1,359,002 European ancestry individuals	NA	1p35.1	NR	PHC2, AL513327.1			ENSG00000134686, ENSG00000225313			rs10914684-A	rs10914684	0	10914684	intron_variant	0	0.324	7E-14	13.154901959985743		0.00865256	[0.0064-0.0109] unit decrease	NR [9732723] (imputed)	N
1	rs10914684	1	33802817	rs55745410	2019-02-08	30593698	Hubel C	2018-12-28	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30593698	Genomics of body fat percentage may contribute to sex bias in anorexia nervosa.	Fat-free mass	70,700 European ancestry female individuals, 85,261 European ancestry male individuals	NA	1p35.1	NR	PHC2, AL513327.1			ENSG00000134686, ENSG00000225313			rs55745410-?	rs55745410	0	55745410	intron_variant	0	NR	1E-12	12.0		0.16415	[0.12-0.21] unit decrease	Affymetrix [7794483] (imputed)	N
1	rs10914684	1	33802817	rs55745410	2019-02-08	30593698	Hubel C	2018-12-28	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30593698	Genomics of body fat percentage may contribute to sex bias in anorexia nervosa.	Fat-free mass	70,700 European ancestry female individuals, 85,261 European ancestry male individuals	NA	1p35.1	NR	PHC2, AL513327.1			ENSG00000134686, ENSG00000225313			rs55745410-?	rs55745410	0	55745410	intron_variant	0	NR	2E-8	7.698970004336019	(female)	0.14087	[0.091-0.19] unit decrease	Affymetrix [7794483] (imputed)	N
1	rs10914684	1	33802817	rs55745410	2019-02-08	30593698	Hubel C	2018-12-28	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30593698	Genomics of body fat percentage may contribute to sex bias in anorexia nervosa.	Fat-free mass	70,700 European ancestry female individuals, 85,261 European ancestry male individuals	NA	1p35.1	NR	PHC2, AL513327.1			ENSG00000134686, ENSG00000225313			rs55745410-?	rs55745410	0	55745410	intron_variant	0	NR	6E-7	6.221848749616356	(male)	0.18342	[0.11-0.26] unit decrease	Affymetrix [7794483] (imputed)	N
1	rs10914684	1	33802817	rs55745410	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	Adventurousness	557,923 European ancestry individuals	NA	1p35.1	PHC2	PHC2, AL513327.1			ENSG00000134686, ENSG00000225313			rs55745410-A	rs55745410	0	55745410	intron_variant	0	0.6424	4E-8	7.3979400086720375		0.011124581	[0.0072-0.0151] unit increase	Illumina [9339358] (imputed)	N
1	rs10914684	1	33802817	rs55745410	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	General risk tolerance (MTAG)	975,353 European ancestry individuals	NA	1p35.1	PHC2	PHC2, AL513327.1			ENSG00000134686, ENSG00000225313			rs55745410-A	rs55745410	0	55745410	intron_variant	0	0.644	6E-16	15.221848749616356		0.01	[0.0076-0.0124] unit increase	Affymetrix, Illumina [5869552] (imputed)	N
