annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	161	0.00959132610508757	1.02883650975398	0.717558236697699
UTR5	71546	0.00285251910856087	69	0.00411056833075182	1.44103095345281	0.00366981585662395
downstream	284177	0.0113300579027968	187	0.0111402359108781	0.98324615870923	0.855260521061501
exonic	254736	0.0101562534263042	148	0.0088168712021923	0.868122410116021	0.090015828021816
intergenic	11684523	0.465858680176655	3845	0.229059930894793	0.491694027914073	0
intronic	9137749	0.364319509570527	8378	0.499106398188967	1.36996890113662	2.99483985058827e-277
ncRNA_exonic	259951	0.0103641740249561	182	0.0108423686405338	1.04613919203076	0.541736176208168
ncRNA_intronic	2884355	0.114998431126451	3665	0.218336709162397	1.89860598117479	1.75327678027971e-315
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	1	5.95734540688669e-05	0.527986892998077	1
upstream	266686	0.0106326966005879	150	0.00893601811033004	0.840428204246508	0.0318099935052557
