ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000160094	ZNF362	1	33722146	33766320	1	protein_coding	149076	ZNF362	0.928285965252321	0.369547671	4	6.963	NA	rs10914684	1
ENSG00000184389	A3GALT2	1	33772367	33786699	-1	protein_coding	127550	A3GALT2	6.50302639229507e-07	0.091510074	15	5.648	5.158e-09	rs10914684	1
ENSG00000134686	PHC2	1	33789224	33896653	-1	protein_coding	1912	PHC2	0.205656047583874	1.077231333	98	18.57	5.158e-09	rs10914684	1
ENSG00000173406	DAB1	1	57460451	59012406	-1	protein_coding	1600	DAB1	0.98140856728469	-0.328080028	3	4.866	2.62e-09	rs17425189	2
ENSG00000162599	NFIA	1	61330931	61928465	1	protein_coding	4774	NFIA	0.999555166212873	-0.180372327	15	17.64	3.52e-09	rs446952	3
ENSG00000184588	PDE4B	1	66258197	66840259	1	protein_coding	5142	PDE4B	0.709078616910536	-0.830512064	165	16.98	1.468e-09	rs61799395;rs7528604	4
ENSG00000143032	BARHL2	1	91177096	91182794	-1	protein_coding	343472	BARHL2	0.222344944286557	0.135582777	4	14.35	5.898e-09	rs12042107	5
ENSG00000091106	NLRC4	2	32449522	32490923	-1	protein_coding	58484	NLRC4	4.35115119359313e-08	-0.261719081	5	9.284	1.378e-07	rs176413	7
ENSG00000119820	YIPF4	2	32502979	32541663	1	protein_coding	84272	YIPF4	0.019788591248373	-1.79291052	12	9.284	5.459e-08	rs176413	7
ENSG00000115760	BIRC6	2	32582096	32843966	1	protein_coding	57448	BIRC6	0.999999999999996	-0.223051751	55	11	2.318e-09	rs176413	7
ENSG00000018699	TTC27	2	32853099	33046118	1	protein_coding	55622	TTC27	6.54258241947822e-09	-0.569398575	5	1.638	7.96e-09	rs176413	7
ENSG00000143921	ABCG8	2	44066103	44105605	1	protein_coding	64241	ABCG8	3.74527259993631e-16	-0.050037409	3	9.369	2.225e-07	rs75120545;rs11124961	8
ENSG00000138095	LRPPRC	2	44113647	44223144	-1	protein_coding	10128	LRPPRC	0.000433777803620707	-0.577712281	69	20.3	8.84e-09	rs75120545;rs11124961	8
ENSG00000138083	SIX3	2	45168902	45173216	1	protein_coding	6496	SIX3	0.348879193568557	-0.044660275	11	18.09	5.515e-16	rs528301;rs733872;rs4953148	9
ENSG00000243244	STON1	2	48756522	48826025	1	protein_coding	11037	STON1	4.44985489455154e-08	1.251076578	6	15.61	2.057e-08	rs77428094	10
